"term"	"contrast"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"concept"	"p.corrected"
"1"	"ideology"	"1 - 0"	0.0118110478784201	0.000260682625771223	45.3081514100813	0	Inf	0.0113001193205132	0.0123219764363271	"animal"	0
"2"	"magnitude"	"dY/dX"	0.00298373939813609	0.000161269388248317	18.5015856421668	2.0048782450777e-76	251.463020586009	0.00266765720536058	0.0032998215909116	"animal"	2.0048782450777e-76
"3"	"ideology"	"1 - 0"	0.00985147871251885	0.000299127907980291	32.9340006388436	7.16950288613938e-238	787.777013493354	0.00926519878610666	0.010437758638931	"commodity"	7.16950288613938e-238
"4"	"magnitude"	"dY/dX"	0.000101504158424933	0.000185053841898858	0.548511489323257	0.583340742409558	0.77758925471559	-0.000261194706897597	0.000464203023747464	"commodity"	0.583340742409558
"5"	"ideology"	"1 - 0"	0.0083726861157023	0.00018848920857537	44.4199759709553	0	Inf	0.00800325405542012	0.00874211817598448	"parasite"	0
"6"	"magnitude"	"dY/dX"	0.00293051638669635	0.0001166075800733	25.13143986741	2.2551239395059e-139	460.574798464512	0.00270196972942831	0.00315906304396439	"parasite"	2.2551239395059e-139
"7"	"ideology"	"1 - 0"	0.0133485755467332	0.000235156611900742	56.7646192843072	0	Inf	0.0128876770566813	0.0138094740367851	"pressure"	0
"8"	"magnitude"	"dY/dX"	0.00154076698071588	0.000145478773938407	10.5910088393254	3.28037229628121e-26	84.6562709084724	0.00125563382328156	0.00182590013815021	"pressure"	3.28037229628121e-26
"9"	"ideology"	"1 - 0"	0.0084459356494811	0.000182334353972955	46.3211428096203	0	Inf	0.00808856688254973	0.00880330441641246	"vermin"	0
"10"	"magnitude"	"dY/dX"	0.00219741398076129	0.000112799755535075	19.4806626161349	1.6019285214031e-84	278.3621501949	0.00197633052244762	0.00241849743907496	"vermin"	1.6019285214031e-84
"11"	"ideology"	"1 - 0"	0.0171576025122243	0.000391786910567537	43.7931999498657	0	Inf	0.0163897142778977	0.0179254907465509	"war"	0
"12"	"magnitude"	"dY/dX"	0.00308398988531898	0.000242377825167423	12.7238945360975	4.35596063365696e-37	120.788348594859	0.00260893807733968	0.00355904169329827	"war"	4.35596063365696e-37
"13"	"ideology"	"1 - 0"	0.0166229264631278	0.000262864702062984	63.2375755765978	0	Inf	0.0161077211142775	0.0171381318119781	"water"	0
"14"	"magnitude"	"dY/dX"	-0.000493979890788099	0.000162620075770962	-3.0376316604589	0.00238445216137016	8.71212644604656	-0.000812709382462358	-0.000175250399113839	"water"	0.00238445216137016
"15"	"ideology"	"1 - 0"	0.0955452307544452	0.000938018545792176	101.858573247883	0	Inf	0.0937067481878619	0.0973837133210285	"overall"	0
"16"	"magnitude"	"dY/dX"	0.00675721748790724	0.00058030008563653	11.6443503200508	2.45182925984374e-31	101.685912425185	0.00561985021983413	0.00789458475598034	"overall"	2.45182925984374e-31
