"term"	"ideology"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"outcome"	"p.corrected"
"1"	"score_animal"	0	-0.00565413126184576	0.0031963395625458	-1.76893948568543	0.0769039738405582	3.70079804162738	-0.011918841686796	0.000610579163104516	"log_favorites"	1
"2"	"score_animal"	1	-0.000595061959912035	0.00231077121371825	-0.257516605875717	0.796779997822552	0.327746664103379	-0.00512409031531171	0.00393396639548764	"log_favorites"	1
"3"	"score_commodity"	0	-0.0149523251964502	0.00292789465164994	-5.10685218405115	3.27569790285552e-07	21.5416943518446	-0.0206908932642115	-0.00921375712868886	"log_favorites"	8.8443843377099e-06
"4"	"score_commodity"	1	-0.00691873143716202	0.00186610458543823	-3.70757967755448	0.000209249589936194	12.2224875840025	-0.010576229216006	-0.00326123365831804	"log_favorites"	0.00418499179872389
"5"	"score_parasite"	0	0.0322412866853874	0.00402217370279098	8.01588620178565	1.09345711542215e-15	49.7000247832454	0.0243579710883529	0.0401246022824218	"log_favorites"	3.06167992318202e-14
"6"	"score_parasite"	1	0.000965994001743637	0.00237549838719887	0.406648982356378	0.684265816027724	0.547371218653274	-0.00368989728249913	0.0056218852859864	"log_favorites"	1
"7"	"score_pressure"	0	-0.00497554857816155	0.00323134740466719	-1.53977519438954	0.123615160417951	3.01607240570223	-0.0113088731128462	0.00135777595652311	"log_favorites"	1
"8"	"score_pressure"	1	-4.48934659657107e-05	0.00186711482423321	-0.0240442983918504	0.980817273901703	0.0279437072607156	-0.00370437127646363	0.00361458434453221	"log_favorites"	1
"9"	"score_vermin"	0	-0.00327335986234319	0.00387222125786511	-0.845344220889876	0.397918677907133	1.32945447559544	-0.0108627740679292	0.0043160543432428	"log_favorites"	1
"10"	"score_vermin"	1	0.00241182146156147	0.00274325706655569	0.879181718317651	0.379302755197763	1.39857824369889	-0.00296486358922268	0.00778850651234563	"log_favorites"	1
"11"	"score_war"	0	-0.013706286254352	0.00296892513598191	-4.61658197043723	3.90111974142862e-06	17.9676802880306	-0.0195252725936722	-0.00788729991503177	"log_favorites"	9.75279935357155e-05
"12"	"score_war"	1	0.000209648048279327	0.00189979773985866	0.110352825398626	0.912129564430461	0.132689326763894	-0.00351388709975424	0.00393318319631289	"log_favorites"	1
"13"	"score_water"	0	-0.00632323423241408	0.00332665680530585	-1.90077744789569	0.0573311692046627	4.12453648829675	-0.0128433617597386	0.000196893294910469	"log_favorites"	0.974629876479266
"14"	"score_water"	1	0.00928875101801489	0.00185648365464358	5.00341115031157	5.63246322983082e-07	20.7597306740045	0.00565010991702617	0.0129273921190036	"log_favorites"	1.46444043975601e-05
"15"	"score_animal"	0	0.00567538241724299	0.00256789248493956	2.21013241423796	0.0270959738405895	5.20577769065811	0.000642405630590393	0.0107083592038956	"log_retweets"	0.487727529130611
"16"	"score_animal"	1	-0.000593569538565952	0.00185643454826884	-0.319736313418356	0.749168229512192	0.416638375361227	-0.00423211439282877	0.00304497531569687	"log_retweets"	1
"17"	"score_commodity"	0	-0.00259846370833589	0.00235222684064629	-1.10468244959825	0.26929721076234	1.89272880764035	-0.00720874359947106	0.00201181618279928	"log_retweets"	1
"18"	"score_commodity"	1	-0.00268876780910527	0.00149919775375194	-1.79347107636485	0.0728976314589738	3.77798424954219	-0.00562714141216242	0.000249605793951887	"log_retweets"	1
"19"	"score_parasite"	0	0.0131736267243557	0.00323133208993526	4.07684086862753	4.56517126234305e-05	14.4189714905256	0.00684033220599402	0.0195069212427173	"log_retweets"	0.00109564110296233
"20"	"score_parasite"	1	0.00192318212423285	0.00190843615654996	1.00772672831223	0.313585669839793	1.67306846184826	-0.00181728400939912	0.00566364825786482	"log_retweets"	1
"21"	"score_pressure"	0	0.00417095984663267	0.0025959809243322	1.6066989582004	0.10812042227712	3.2092890432747	-0.000917069269611453	0.00925898896287678	"log_retweets"	1
"22"	"score_pressure"	1	0.000319263229856983	0.00150000914183233	0.212840856067709	0.831451095253968	0.266296686106624	-0.00262070066461522	0.00325922712432918	"log_retweets"	1
"23"	"score_vermin"	0	0.0119163332992889	0.00311088792485335	3.83052478492959	0.000127870251931201	12.9330317086305	0.00581910500663582	0.018013561591942	"log_retweets"	0.00281314554248642
"24"	"score_vermin"	1	0.00837945532995821	0.00220388518462466	3.80212879891259	0.000143458110212198	12.7670828483047	0.00405991974203247	0.012698990917884	"log_retweets"	0.00301262031445617
"25"	"score_war"	0	-0.000796288615363836	0.00238517477744903	-0.333849168158434	0.738493379028443	0.437343108339613	-0.00547114527599727	0.00387856804526959	"log_retweets"	1
"26"	"score_war"	1	0.00255307380821856	0.00152626644728592	1.67275760582862	0.0943750237466365	3.40545108743878	-0.00043835345927375	0.00554450107571087	"log_retweets"	1
"27"	"score_water"	0	-0.00845161710603202	0.00267258157050443	-3.1623420588195	0.00156505607941472	9.31956993162945	-0.0136897807299662	-0.00321345348209785	"log_retweets"	0.0297360655088796
"28"	"score_water"	1	0.00603081628705618	0.0014914682740192	4.04354312599918	5.26494665976161e-05	14.2132215593467	0.00310759218589444	0.00895404038821793	"log_retweets"	0.00121093773174517
